	Questions	Queries	Pairs	Masked Questions
277	What is the payment method code used by most number of customers?	SELECT payment_method_code FROM Customers GROUP BY payment_method_code ORDER BY count(*) DESC LIMIT 1	"/* Answer the following: What is the payment method code used by most number of customers? */
SELECT payment_method_code FROM Customers GROUP BY payment_method_code ORDER BY count(*) DESC LIMIT 1
"	What is the payment method code used by most number of <mask>?
278	Give the code of the payment method that is most commonly used.	SELECT payment_method_code FROM Customers GROUP BY payment_method_code ORDER BY count(*) DESC LIMIT 1	"/* Answer the following: Give the code of the payment method that is most commonly used. */
SELECT payment_method_code FROM Customers GROUP BY payment_method_code ORDER BY count(*) DESC LIMIT 1
"	Give the code of the payment method that is most commonly used.
279	Show all customer names with the  payment method code used by least number of customers.	SELECT customer_name FROM Customers WHERE payment_method_code  =  ( SELECT payment_method_code FROM Customers GROUP BY payment_method_code ORDER BY count(*) ASC LIMIT 1)	"/* Answer the following: Show all customer names with the  payment method code used by least number of customers. */
SELECT customer_name FROM Customers WHERE payment_method_code  =  ( SELECT payment_method_code FROM Customers GROUP BY payment_method_code ORDER BY count(*) ASC LIMIT 1)
"	Show all customer names with the  payment method code used by least number of <mask>.
280	What are the names of customers who use the least common payment method?	SELECT customer_name FROM Customers WHERE payment_method_code  =  ( SELECT payment_method_code FROM Customers GROUP BY payment_method_code ORDER BY count(*) ASC LIMIT 1)	"/* Answer the following: What are the names of customers who use the least common payment method? */
SELECT customer_name FROM Customers WHERE payment_method_code  =  ( SELECT payment_method_code FROM Customers GROUP BY payment_method_code ORDER BY count(*) ASC LIMIT 1)
"	What are the names of <mask> who use the least common payment method?
281	What is the payment method and customer number for customer named Jeromy?	"SELECT payment_method_code ,  customer_number FROM Customers WHERE customer_name  =  ""Jeromy"""	"/* Answer the following: What is the payment method and customer number for customer named Jeromy? */
SELECT payment_method_code ,  customer_number FROM Customers WHERE customer_name  =  ""Jeromy""
"	What is the payment method and customer number for customer named <mask>?
282	Give the payment method code and customer number corresponding to the customer named Jeromy.	"SELECT payment_method_code ,  customer_number FROM Customers WHERE customer_name  =  ""Jeromy"""	"/* Answer the following: Give the payment method code and customer number corresponding to the customer named Jeromy. */
SELECT payment_method_code ,  customer_number FROM Customers WHERE customer_name  =  ""Jeromy""
"	Give the payment method code and customer number corresponding to the customer named <mask>.
283	What are the distinct payment methods used by customers?	SELECT DISTINCT payment_method_code FROM Customers	"/* Answer the following: What are the distinct payment methods used by customers? */
SELECT DISTINCT payment_method_code FROM Customers
"	What are the distinct payment methods used by <mask>?
284	Give the different payment method codes that customers use.	SELECT DISTINCT payment_method_code FROM Customers	"/* Answer the following: Give the different payment method codes that customers use. */
SELECT DISTINCT payment_method_code FROM Customers
"	Give the different payment method codes that <mask> use.
285	Show the id and the product type for all products, order by product name.	SELECT product_id ,  product_type_code FROM Products ORDER BY product_name	"/* Answer the following: Show the id and the product type for all products, order by product name. */
SELECT product_id ,  product_type_code FROM Products ORDER BY product_name
"	Show the id and the product type for all <mask>, order by product name.
286	What are the ids and product types for all products, sorted alphabetically by product name?	SELECT product_id ,  product_type_code FROM Products ORDER BY product_name	"/* Answer the following: What are the ids and product types for all products, sorted alphabetically by product name? */
SELECT product_id ,  product_type_code FROM Products ORDER BY product_name
"	What are the ids and product types for all <mask>, sorted alphabetically by product name?
287	What is the product type with least number of products?	SELECT product_type_code FROM Products GROUP BY product_type_code ORDER BY count(*) ASC LIMIT 1	"/* Answer the following: What is the product type with least number of products? */
SELECT product_type_code FROM Products GROUP BY product_type_code ORDER BY count(*) ASC LIMIT 1
"	What is the product type with least number of <mask>?
288	What is the code of the product type that is least common?	SELECT product_type_code FROM Products GROUP BY product_type_code ORDER BY count(*) ASC LIMIT 1	"/* Answer the following: What is the code of the product type that is least common? */
SELECT product_type_code FROM Products GROUP BY product_type_code ORDER BY count(*) ASC LIMIT 1
"	What is the code of the product type that is least common?
289	How many customer orders do we have?	SELECT count(*) FROM Customer_orders	"/* Answer the following: How many customer orders do we have? */
SELECT count(*) FROM Customer_orders
"	How many customer orders do we have?
290	Count the number of customer orders.	SELECT count(*) FROM Customer_orders	"/* Answer the following: Count the number of customer orders. */
SELECT count(*) FROM Customer_orders
"	<mask> the number of customer orders.
297	Show all order status and the number of orders in each status.	SELECT order_status_code ,  count(*) FROM Customer_orders GROUP BY order_status_code	"/* Answer the following: Show all order status and the number of orders in each status. */
SELECT order_status_code ,  count(*) FROM Customer_orders GROUP BY order_status_code
"	Show all order status and the number of orders in each status.
298	How many orders have each order status code?	SELECT order_status_code ,  count(*) FROM Customer_orders GROUP BY order_status_code	"/* Answer the following: How many orders have each order status code? */
SELECT order_status_code ,  count(*) FROM Customer_orders GROUP BY order_status_code
"	How many orders have each order status code?
299	What is the order status code that is most common?	SELECT order_status_code FROM Customer_orders GROUP BY order_status_code ORDER BY count(*) DESC LIMIT 1	"/* Answer the following: What is the order status code that is most common? */
SELECT order_status_code FROM Customer_orders GROUP BY order_status_code ORDER BY count(*) DESC LIMIT 1
"	What is the order status code that is most common?
300	Give the order status code that is most frequent across customer orders.	SELECT order_status_code FROM Customer_orders GROUP BY order_status_code ORDER BY count(*) DESC LIMIT 1	"/* Answer the following: Give the order status code that is most frequent across customer orders. */
SELECT order_status_code FROM Customer_orders GROUP BY order_status_code ORDER BY count(*) DESC LIMIT 1
"	Give the order status code that is most frequent across customer orders.
301	How many customers do not have an order?	SELECT count(*) FROM Customers WHERE customer_id NOT IN  ( SELECT customer_id FROM Customer_orders)	"/* Answer the following: How many customers do not have an order? */
SELECT count(*) FROM Customers WHERE customer_id NOT IN  ( SELECT customer_id FROM Customer_orders)
"	How many <mask> do not have an order?
302	Count the number of customers who have not made an order.	SELECT count(*) FROM Customers WHERE customer_id NOT IN  ( SELECT customer_id FROM Customer_orders)	"/* Answer the following: Count the number of customers who have not made an order. */
SELECT count(*) FROM Customers WHERE customer_id NOT IN  ( SELECT customer_id FROM Customer_orders)
"	<mask> the number of <mask> who have not made an order.
309	How many customers have an order?	SELECT count(DISTINCT customer_id) FROM Customer_orders	"/* Answer the following: How many customers have an order? */
SELECT count(DISTINCT customer_id) FROM Customer_orders
"	How many customers have an order?
310	Count the number of differnt customers who have made an order.	SELECT count(DISTINCT customer_id) FROM Customer_orders	"/* Answer the following: Count the number of differnt customers who have made an order. */
SELECT count(DISTINCT customer_id) FROM Customer_orders
"	<mask> the number of differnt customers who have made an order.
311	Show all customer ids without an order.	SELECT customer_id FROM Customers EXCEPT SELECT customer_id FROM Customer_orders	"/* Answer the following: Show all customer ids without an order. */
SELECT customer_id FROM Customers EXCEPT SELECT customer_id FROM Customer_orders
"	Show all customer ids without an order.
312	What are the ids of customers who have not made an order?	SELECT customer_id FROM Customers EXCEPT SELECT customer_id FROM Customer_orders	"/* Answer the following: What are the ids of customers who have not made an order? */
SELECT customer_id FROM Customers EXCEPT SELECT customer_id FROM Customer_orders
"	What are the ids of <mask> who have not made an order?
315	How many buildings are there?	SELECT count(*) FROM building	"/* Answer the following: How many buildings are there? */
SELECT count(*) FROM building
"	How many <mask> are there?
316	Count the number of buildings.	SELECT count(*) FROM building	"/* Answer the following: Count the number of buildings. */
SELECT count(*) FROM building
"	<mask> the number of <mask>.
317	List the names of buildings in ascending order of number of stories.	SELECT Name FROM building ORDER BY Number_of_Stories ASC	"/* Answer the following: List the names of buildings in ascending order of number of stories. */
SELECT Name FROM building ORDER BY Number_of_Stories ASC
"	List the <mask> of <mask> in ascending order of number of stories.
318	What is the list of building names, sorted by the number of stories of each building in ascending order?	SELECT Name FROM building ORDER BY Number_of_Stories ASC	"/* Answer the following: What is the list of building names, sorted by the number of stories of each building in ascending order? */
SELECT Name FROM building ORDER BY Number_of_Stories ASC
"	What is the list of <mask> <mask>, sorted by the number of stories of each <mask> in ascending order?
319	List the addresses of buildings in descending order of building completion year.	SELECT Address FROM building ORDER BY Completed_Year DESC	"/* Answer the following: List the addresses of buildings in descending order of building completion year. */
SELECT Address FROM building ORDER BY Completed_Year DESC
"	List the addresses of <mask> in descending order of <mask> completion year.
320	Sort the buildings in descending order of building completion year, and return the building addresses.	SELECT Address FROM building ORDER BY Completed_Year DESC	"/* Answer the following: Sort the buildings in descending order of building completion year, and return the building addresses. */
SELECT Address FROM building ORDER BY Completed_Year DESC
"	Sort the <mask> in descending order of <mask> completion year, and return the <mask> addresses.
321	What is the maximum number of stories of buildings not completed in 1980?	"SELECT max(Number_of_Stories) FROM building WHERE Completed_Year != ""1980"""	"/* Answer the following: What is the maximum number of stories of buildings not completed in 1980? */
SELECT max(Number_of_Stories) FROM building WHERE Completed_Year != ""1980""
"	What is the maximum number of stories of <mask> not completed in 1980?
322	Among the buildings not completed in 1980, what is the maximum number of stories?	"SELECT max(Number_of_Stories) FROM building WHERE Completed_Year != ""1980"""	"/* Answer the following: Among the buildings not completed in 1980, what is the maximum number of stories? */
SELECT max(Number_of_Stories) FROM building WHERE Completed_Year != ""1980""
"	Among the <mask> not completed in 1980, what is the maximum number of stories?
323	What is the average population for all regions?	SELECT avg(Population) FROM region	"/* Answer the following: What is the average population for all regions? */
SELECT avg(Population) FROM region
"	What is the average <mask> for all <mask>?
324	Compute the average population of a region.	SELECT avg(Population) FROM region	"/* Answer the following: Compute the average population of a region. */
SELECT avg(Population) FROM region
"	Compute the average <mask> of a <mask>.
325	What are the names of regions in ascending alphabetical order?	SELECT Name FROM region ORDER BY Name ASC	"/* Answer the following: What are the names of regions in ascending alphabetical order? */
SELECT Name FROM region ORDER BY Name ASC
"	What are the <mask> of <mask> in ascending alphabetical order?
326	List the names of regions in alphabetical order.	SELECT Name FROM region ORDER BY Name ASC	"/* Answer the following: List the names of regions in alphabetical order. */
SELECT Name FROM region ORDER BY Name ASC
"	List the <mask> of <mask> in alphabetical order.
327	What are the capitals of the regions with area bigger than 10000?	SELECT Capital FROM region WHERE Area  >  10000	"/* Answer the following: What are the capitals of the regions with area bigger than 10000? */
SELECT Capital FROM region WHERE Area  >  10000
"	What are the <mask> of the <mask> with <mask> bigger than 10000?
328	Give me the capitals of the regions whose area is larger than 10000.	SELECT Capital FROM region WHERE Area  >  10000	"/* Answer the following: Give me the capitals of the regions whose area is larger than 10000. */
SELECT Capital FROM region WHERE Area  >  10000
"	Give me the <mask> of the <mask> whose <mask> is larger than 10000.
329	List the capital of the region with the largest population.	SELECT Capital FROM region ORDER BY Population DESC LIMIT 1	"/* Answer the following: List the capital of the region with the largest population. */
SELECT Capital FROM region ORDER BY Population DESC LIMIT 1
"	List the <mask> of the <mask> with the largest <mask>.
330	Which region has the largest population? Give me the capital of the region.	SELECT Capital FROM region ORDER BY Population DESC LIMIT 1	"/* Answer the following: Which region has the largest population? Give me the capital of the region. */
SELECT Capital FROM region ORDER BY Population DESC LIMIT 1
"	Which <mask> has the largest <mask>? Give me the <mask> of the <mask>.
331	List the names of the regions with the top 5 largest areas.	SELECT Name FROM region ORDER BY Area DESC LIMIT 5	"/* Answer the following: List the names of the regions with the top 5 largest areas. */
SELECT Name FROM region ORDER BY Area DESC LIMIT 5
"	List the <mask> of the <mask> with the top 5 largest <mask>.
332	What are the names of the 5 largest regions in terms of area?	SELECT Name FROM region ORDER BY Area DESC LIMIT 5	"/* Answer the following: What are the names of the 5 largest regions in terms of area? */
SELECT Name FROM region ORDER BY Area DESC LIMIT 5
"	What are the <mask> of the 5 largest <mask> in terms of <mask>?
343	Please show each completion year and the number of buildings completed in that year.	SELECT Completed_Year ,  COUNT(*) FROM building GROUP BY Completed_Year	"/* Answer the following: Please show each completion year and the number of buildings completed in that year. */
SELECT Completed_Year ,  COUNT(*) FROM building GROUP BY Completed_Year
"	Please show each completion year and the number of <mask> completed in that year.
344	For completion year, return the year and the number of buildings completed.	SELECT Completed_Year ,  COUNT(*) FROM building GROUP BY Completed_Year	"/* Answer the following: For completion year, return the year and the number of buildings completed. */
SELECT Completed_Year ,  COUNT(*) FROM building GROUP BY Completed_Year
"	For completion year, return the year and the number of <mask> completed.
345	List the year in which the most buildings are completed.	SELECT Completed_Year FROM building GROUP BY Completed_Year ORDER BY COUNT(*) DESC LIMIT 1	"/* Answer the following: List the year in which the most buildings are completed. */
SELECT Completed_Year FROM building GROUP BY Completed_Year ORDER BY COUNT(*) DESC LIMIT 1
"	List the year in which the most <mask> are completed.
346	In which year did the most building constructions complete?	SELECT Completed_Year FROM building GROUP BY Completed_Year ORDER BY COUNT(*) DESC LIMIT 1	"/* Answer the following: In which year did the most building constructions complete? */
SELECT Completed_Year FROM building GROUP BY Completed_Year ORDER BY COUNT(*) DESC LIMIT 1
"	In which year did the most <mask> constructions complete?
347	List the names of regions that do not have any buildings.	SELECT Name FROM region WHERE Region_ID NOT IN (SELECT Region_ID FROM building)	"/* Answer the following: List the names of regions that do not have any buildings. */
SELECT Name FROM region WHERE Region_ID NOT IN (SELECT Region_ID FROM building)
"	List the <mask> of <mask> that do not have any <mask>.
348	What are the names of regions in which there are no buildings?	SELECT Name FROM region WHERE Region_ID NOT IN (SELECT Region_ID FROM building)	"/* Answer the following: What are the names of regions in which there are no buildings? */
SELECT Name FROM region WHERE Region_ID NOT IN (SELECT Region_ID FROM building)
"	What are the <mask> of <mask> in which there are no <mask>?
349	Show the completed years shared by buildings with more than 20 stories and buildings with less than 15 stories.	SELECT Completed_Year FROM building WHERE Number_of_Stories  >  20 INTERSECT SELECT Completed_Year FROM building WHERE Number_of_Stories  <  15	"/* Answer the following: Show the completed years shared by buildings with more than 20 stories and buildings with less than 15 stories. */
SELECT Completed_Year FROM building WHERE Number_of_Stories  >  20 INTERSECT SELECT Completed_Year FROM building WHERE Number_of_Stories  <  15
"	Show the completed years shared by <mask> with more than 20 stories and <mask> with less than 15 stories.
350	In which years did both buildings with more than 20 stories and buildings with less than 15 stories were completed?	SELECT Completed_Year FROM building WHERE Number_of_Stories  >  20 INTERSECT SELECT Completed_Year FROM building WHERE Number_of_Stories  <  15	"/* Answer the following: In which years did both buildings with more than 20 stories and buildings with less than 15 stories were completed? */
SELECT Completed_Year FROM building WHERE Number_of_Stories  >  20 INTERSECT SELECT Completed_Year FROM building WHERE Number_of_Stories  <  15
"	In which years did both <mask> with more than 20 stories and <mask> with less than 15 stories were completed?
351	Show the distinct addresses of buildings.	SELECT DISTINCT Address FROM building	"/* Answer the following: Show the distinct addresses of buildings. */
SELECT DISTINCT Address FROM building
"	Show the distinct addresses of <mask>.
352	Give me a list of distinct building addresses.	SELECT DISTINCT Address FROM building	"/* Answer the following: Give me a list of distinct building addresses. */
SELECT DISTINCT Address FROM building
"	Give me a list of distinct <mask> addresses.
353	Show the completed years of buildings in descending order of the number of stories.	SELECT Completed_Year FROM building ORDER BY Number_of_Stories DESC	"/* Answer the following: Show the completed years of buildings in descending order of the number of stories. */
SELECT Completed_Year FROM building ORDER BY Number_of_Stories DESC
"	Show the completed years of <mask> in descending order of the number of stories.
354	Sort buildings in descending order of the number of stories, and return their completion years.	SELECT Completed_Year FROM building ORDER BY Number_of_Stories DESC	"/* Answer the following: Sort buildings in descending order of the number of stories, and return their completion years. */
SELECT Completed_Year FROM building ORDER BY Number_of_Stories DESC
"	Sort <mask> in descending order of the number of stories, and return their completion years.
355	List details of all the channel in alphabetical order .	select channel_details from channels order by channel_details	"/* Answer the following: List details of all the channel in alphabetical order . */
select channel_details from channels order by channel_details
"	List details of all the channel in alphabetical <mask> .
356	What is the list of channel details ordered alphabetically ?	select channel_details from channels order by channel_details	"/* Answer the following: What is the list of channel details ordered alphabetically ? */
select channel_details from channels order by channel_details
"	What is the list of channel details ordered alphabetically ?
357	How many services are there?	SELECT count(*) FROM services	"/* Answer the following: How many services are there? */
SELECT count(*) FROM services
"	How many <mask> are there?
358	Count the number of services.	SELECT count(*) FROM services	"/* Answer the following: Count the number of services. */
SELECT count(*) FROM services
"	<mask> the number of <mask>.
359	What is the most common analytical layer type code?	SELECT analytical_layer_type_code FROM analytical_layer GROUP BY analytical_layer_type_code ORDER BY count(*) DESC LIMIT 1	"/* Answer the following: What is the most common analytical layer type code? */
SELECT analytical_layer_type_code FROM analytical_layer GROUP BY analytical_layer_type_code ORDER BY count(*) DESC LIMIT 1
"	What is the most common analytical layer type code?
360	Find the analytical layer type code that appears most often.	SELECT analytical_layer_type_code FROM analytical_layer GROUP BY analytical_layer_type_code ORDER BY count(*) DESC LIMIT 1	"/* Answer the following: Find the analytical layer type code that appears most often. */
SELECT analytical_layer_type_code FROM analytical_layer GROUP BY analytical_layer_type_code ORDER BY count(*) DESC LIMIT 1
"	Find the analytical layer type code that appears most often.
369	Find the details of the customer who has never used any services .	select customer_details from customers where customer_id not in (select customer_id from customers_and_services)	"/* Answer the following: Find the details of the customer who has never used any services . */
select customer_details from customers where customer_id not in (select customer_id from customers_and_services)
"	Find the details of the customer who has never used any services .
370	Which customers never used any services ? Give me the customer details .	select customer_details from customers where customer_id not in (select customer_id from customers_and_services)	"/* Answer the following: Which customers never used any services ? Give me the customer details . */
select customer_details from customers where customer_id not in (select customer_id from customers_and_services)
"	Which <mask> never used any services ? Give me the customer details .
373	How many distinct customer and services details are there?	SELECT count(DISTINCT customers_and_services_details) FROM customers_and_services	"/* Answer the following: How many distinct customer and services details are there? */
SELECT count(DISTINCT customers_and_services_details) FROM customers_and_services
"	How many distinct customer and services details are there?
374	Count the total number of available customers and services details.	SELECT count(DISTINCT customers_and_services_details) FROM customers_and_services	"/* Answer the following: Count the total number of available customers and services details. */
SELECT count(DISTINCT customers_and_services_details) FROM customers_and_services
"	<mask> the total number of available customers and services details.
375	"Find all the customers whose name contains ""Kutch""."	"SELECT customer_details FROM customers WHERE customer_details LIKE ""%Kutch%"""	"/* Answer the following: Find all the customers whose name contains ""Kutch"". */
SELECT customer_details FROM customers WHERE customer_details LIKE ""%Kutch%""
"	"Find all the <mask> whose name contains ""<mask>""."
376	"What are the details of the customers who have ""Kutch"" in part of their details?"	"SELECT customer_details FROM customers WHERE customer_details LIKE ""%Kutch%"""	"/* Answer the following: What are the details of the customers who have ""Kutch"" in part of their details? */
SELECT customer_details FROM customers WHERE customer_details LIKE ""%Kutch%""
"	"What are the details of the <mask> who have ""<mask>"" in part of their details?"
385	How many integration platforms are successful?	"SELECT count(*) FROM integration_platform WHERE integration_platform_details  =  ""Success"""	"/* Answer the following: How many integration platforms are successful? */
SELECT count(*) FROM integration_platform WHERE integration_platform_details  =  ""Success""
"	How many integration platforms are successful?
386	"Count the number of integration platforms that have ""Success"" in the details."	"SELECT count(*) FROM integration_platform WHERE integration_platform_details  =  ""Success"""	"/* Answer the following: Count the number of integration platforms that have ""Success"" in the details. */
SELECT count(*) FROM integration_platform WHERE integration_platform_details  =  ""Success""
"	"<mask> the number of integration platforms that have ""<mask>"" in the details."
391	Find all the layer type codes with their corresponding usage count.	SELECT analytical_layer_type_code ,  count(*) FROM analytical_layer GROUP BY analytical_layer_type_code	"/* Answer the following: Find all the layer type codes with their corresponding usage count. */
SELECT analytical_layer_type_code ,  count(*) FROM analytical_layer GROUP BY analytical_layer_type_code
"	Find all the layer type codes with their corresponding usage <mask>.
392	For each analytical layer, return the analytical layer type code and the number of times it was used.	SELECT analytical_layer_type_code ,  count(*) FROM analytical_layer GROUP BY analytical_layer_type_code	"/* Answer the following: For each analytical layer, return the analytical layer type code and the number of times it was used. */
SELECT analytical_layer_type_code ,  count(*) FROM analytical_layer GROUP BY analytical_layer_type_code
"	For each analytical layer, return the analytical layer type code and the number of times it was used.
395	How many vehicles do we have?	SELECT count(*) FROM vehicles	"/* Answer the following: How many vehicles do we have? */
SELECT count(*) FROM vehicles
"	How many <mask> do we have?
396	Count the number of vehicles.	SELECT count(*) FROM vehicles	"/* Answer the following: Count the number of vehicles. */
SELECT count(*) FROM vehicles
"	<mask> the number of <mask>.
397	Show names for all vehicles in descending order of model year.	SELECT name FROM vehicles ORDER BY model_year DESC	"/* Answer the following: Show names for all vehicles in descending order of model year. */
SELECT name FROM vehicles ORDER BY model_year DESC
"	Show <mask> for all <mask> in descending order of model year.
398	What are the names of all vehicles, ordered by model year descending?	SELECT name FROM vehicles ORDER BY model_year DESC	"/* Answer the following: What are the names of all vehicles, ordered by model year descending? */
SELECT name FROM vehicles ORDER BY model_year DESC
"	What are the <mask> of all <mask>, ordered by model year descending?
399	List all distinct types of powertrain of vehicles.	SELECT DISTINCT type_of_powertrain FROM vehicles	"/* Answer the following: List all distinct types of powertrain of vehicles. */
SELECT DISTINCT type_of_powertrain FROM vehicles
"	List all distinct types of powertrain of <mask>.
400	What are the different types of powertrains?	SELECT DISTINCT type_of_powertrain FROM vehicles	"/* Answer the following: What are the different types of powertrains? */
SELECT DISTINCT type_of_powertrain FROM vehicles
"	What are the different types of powertrains?
401	Show name, type of powertrain, and annual fuel cost for all vehicles with model year 2013 or 2014.	SELECT name ,  type_of_powertrain ,  annual_fuel_cost FROM vehicles WHERE model_year  =  2013 OR model_year  =  2014	"/* Answer the following: Show name, type of powertrain, and annual fuel cost for all vehicles with model year 2013 or 2014. */
SELECT name ,  type_of_powertrain ,  annual_fuel_cost FROM vehicles WHERE model_year  =  2013 OR model_year  =  2014
"	Show <mask>, type of powertrain, and annual fuel cost for all <mask> with model year 2013 or 2014.
402	What are the names, types of powertrains, and yearly fuel costs for vehicles with model years in either 2013 2014?	SELECT name ,  type_of_powertrain ,  annual_fuel_cost FROM vehicles WHERE model_year  =  2013 OR model_year  =  2014	"/* Answer the following: What are the names, types of powertrains, and yearly fuel costs for vehicles with model years in either 2013 2014? */
SELECT name ,  type_of_powertrain ,  annual_fuel_cost FROM vehicles WHERE model_year  =  2013 OR model_year  =  2014
"	What are the <mask>, types of powertrains, and yearly fuel costs for <mask> with model years in either 2013 2014?
403	Show types of powertrain with vehicles both from 2014 and 2013.	SELECT type_of_powertrain FROM vehicles WHERE model_year  =  2014 INTERSECT SELECT type_of_powertrain FROM vehicles WHERE model_year  =  2013	"/* Answer the following: Show types of powertrain with vehicles both from 2014 and 2013. */
SELECT type_of_powertrain FROM vehicles WHERE model_year  =  2014 INTERSECT SELECT type_of_powertrain FROM vehicles WHERE model_year  =  2013
"	Show types of powertrain with <mask> both from 2014 and 2013.
404	What are the types of powertrains that have vehicles that were made in both 2013 and 2014?	SELECT type_of_powertrain FROM vehicles WHERE model_year  =  2014 INTERSECT SELECT type_of_powertrain FROM vehicles WHERE model_year  =  2013	"/* Answer the following: What are the types of powertrains that have vehicles that were made in both 2013 and 2014? */
SELECT type_of_powertrain FROM vehicles WHERE model_year  =  2014 INTERSECT SELECT type_of_powertrain FROM vehicles WHERE model_year  =  2013
"	What are the types of powertrains that have <mask> that were made in both 2013 and 2014?
405	Show all types of powertrain and the number of vehicles in each type.	SELECT type_of_powertrain ,  count(*) FROM vehicles GROUP BY type_of_powertrain	"/* Answer the following: Show all types of powertrain and the number of vehicles in each type. */
SELECT type_of_powertrain ,  count(*) FROM vehicles GROUP BY type_of_powertrain
"	Show all types of powertrain and the number of <mask> in each type.
406	How many vehicles have each type of powertrain?	SELECT type_of_powertrain ,  count(*) FROM vehicles GROUP BY type_of_powertrain	"/* Answer the following: How many vehicles have each type of powertrain? */
SELECT type_of_powertrain ,  count(*) FROM vehicles GROUP BY type_of_powertrain
"	How many <mask> have each type of powertrain?
407	What is the type of powertrain with most number of vehicles.	SELECT type_of_powertrain FROM vehicles GROUP BY type_of_powertrain ORDER BY count(*) DESC LIMIT 1	"/* Answer the following: What is the type of powertrain with most number of vehicles. */
SELECT type_of_powertrain FROM vehicles GROUP BY type_of_powertrain ORDER BY count(*) DESC LIMIT 1
"	What is the type of powertrain with most number of <mask>.
408	Which type of powertrain is most common?	SELECT type_of_powertrain FROM vehicles GROUP BY type_of_powertrain ORDER BY count(*) DESC LIMIT 1	"/* Answer the following: Which type of powertrain is most common? */
SELECT type_of_powertrain FROM vehicles GROUP BY type_of_powertrain ORDER BY count(*) DESC LIMIT 1
"	Which type of powertrain is most common?
409	Show minimum, maximum, and average annual fuel cost for all vehicles.	SELECT min(annual_fuel_cost) ,  max(annual_fuel_cost) ,  avg(annual_fuel_cost) FROM vehicles	"/* Answer the following: Show minimum, maximum, and average annual fuel cost for all vehicles. */
SELECT min(annual_fuel_cost) ,  max(annual_fuel_cost) ,  avg(annual_fuel_cost) FROM vehicles
"	Show minimum, maximum, and average annual fuel cost for all <mask>.
410	What are the minimum, maximum, and average annual fuel costs across all vehicles?	SELECT min(annual_fuel_cost) ,  max(annual_fuel_cost) ,  avg(annual_fuel_cost) FROM vehicles	"/* Answer the following: What are the minimum, maximum, and average annual fuel costs across all vehicles? */
SELECT min(annual_fuel_cost) ,  max(annual_fuel_cost) ,  avg(annual_fuel_cost) FROM vehicles
"	What are the minimum, maximum, and average annual fuel costs across all <mask>?
411	Show name and model year for vehicles with city fuel economy rate less than or equal to highway fuel economy rate.	SELECT name ,  model_year FROM vehicles WHERE city_fuel_economy_rate  <=  highway_fuel_economy_rate	"/* Answer the following: Show name and model year for vehicles with city fuel economy rate less than or equal to highway fuel economy rate. */
SELECT name ,  model_year FROM vehicles WHERE city_fuel_economy_rate  <=  highway_fuel_economy_rate
"	Show <mask> and model year for <mask> with city fuel economy rate less than or equal to highway fuel economy rate.
412	What are the names and model years for vehicles that have a city fuel economy rate less than or equal to its highway fuel economy rate?	SELECT name ,  model_year FROM vehicles WHERE city_fuel_economy_rate  <=  highway_fuel_economy_rate	"/* Answer the following: What are the names and model years for vehicles that have a city fuel economy rate less than or equal to its highway fuel economy rate? */
SELECT name ,  model_year FROM vehicles WHERE city_fuel_economy_rate  <=  highway_fuel_economy_rate
"	What are the <mask> and model years for <mask> that have a city fuel economy rate less than or equal to its highway fuel economy rate?
413	Show the type of powertrain with at least two vehicles, and the average annual fuel cost for vehicles in each such type.	SELECT type_of_powertrain ,  avg(annual_fuel_cost) FROM vehicles GROUP BY type_of_powertrain HAVING count(*)  >=  2	"/* Answer the following: Show the type of powertrain with at least two vehicles, and the average annual fuel cost for vehicles in each such type. */
SELECT type_of_powertrain ,  avg(annual_fuel_cost) FROM vehicles GROUP BY type_of_powertrain HAVING count(*)  >=  2
"	Show the type of powertrain with at least two <mask>, and the average annual fuel cost for <mask> in each such type.
414	What are the types of powertrains for which there are two or more vehicles, and what are their average annual fuel costs?	SELECT type_of_powertrain ,  avg(annual_fuel_cost) FROM vehicles GROUP BY type_of_powertrain HAVING count(*)  >=  2	"/* Answer the following: What are the types of powertrains for which there are two or more vehicles, and what are their average annual fuel costs? */
SELECT type_of_powertrain ,  avg(annual_fuel_cost) FROM vehicles GROUP BY type_of_powertrain HAVING count(*)  >=  2
"	What are the types of powertrains for which there are two or more <mask>, and what are their average annual fuel costs?
415	Show the name, age, membership credit for all customers?	SELECT name ,  age ,  membership_credit FROM customers	"/* Answer the following: Show the name, age, membership credit for all customers? */
SELECT name ,  age ,  membership_credit FROM customers
"	Show the <mask>, <mask>, membership credit for all <mask>?
416	What are the names, ages, and membership credits for all customers?	SELECT name ,  age ,  membership_credit FROM customers	"/* Answer the following: What are the names, ages, and membership credits for all customers? */
SELECT name ,  age ,  membership_credit FROM customers
"	What are the <mask>, <mask>, and membership credits for all <mask>?
417	Show the name and age of the customer with maximum membership credit.	SELECT name ,  age FROM customers ORDER BY membership_credit DESC LIMIT 1	"/* Answer the following: Show the name and age of the customer with maximum membership credit. */
SELECT name ,  age FROM customers ORDER BY membership_credit DESC LIMIT 1
"	Show the <mask> and <mask> of the customer with maximum membership credit.
418	What is the name and age of the customer with the most membership credit?	SELECT name ,  age FROM customers ORDER BY membership_credit DESC LIMIT 1	"/* Answer the following: What is the name and age of the customer with the most membership credit? */
SELECT name ,  age FROM customers ORDER BY membership_credit DESC LIMIT 1
"	What is the <mask> and <mask> of the customer with the most membership credit?
